,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1848,Sun,2017-12-10,16:15,Betis,0.5,0–1,0.4,Atlético Madrid,45517.0,Estadio Benito Villamarín,Alejandro Hernández
1849,Sun,2017-12-10,18:30,Levante,0.8,1–2,1.2,Athletic Club,18005.0,Estadio Ciudad de Valencia,Javier Estrada
1850,Sun,2017-12-10,20:45,Villarreal,0.6,0–2,3.0,Barcelona,21087.0,Estadio de la Cerámica,Ricardo de Burgos
1851,Mon,2017-12-11,21:00,Espanyol,0.4,0–1,1.0,Girona,13846.0,RCDE Stadium,José González
1853,Fri,2017-12-15,21:00,Sevilla,1.7,0–0,1.5,Levante,25934.0,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias
1854,Sat,2017-12-16,16:15,Athletic Club,0.6,0–0,0.8,Real Sociedad,45504.0,San Mamés,David Fernández
1855,Sat,2017-12-16,18:30,Eibar,0.9,2–1,1.4,Valencia,5219.0,Estadio Municipal de Ipurúa,Pablo González
1856,Sat,2017-12-16,20:45,Atlético Madrid,0.9,1–0,0.5,Alavés,49937.0,Estadio Wanda Metropolitano,Jesús Gil
1857,Sun,2017-12-17,12:00,Girona,0.3,1–0,0.3,Getafe,10095.0,Estadi Municipal de Montilivi,Alberto Undiano
1858,Sun,2017-12-17,16:15,Celta Vigo,0.6,0–1,0.6,Villarreal,18215.0,Estadio de Balaídos,Javier Estrada
1859,Sun,2017-12-17,17:30,Las Palmas,1.5,2–2,1.9,Espanyol,14020.0,Estadio de Gran Canaria,José Sánchez
1860,Sun,2017-12-17,20:45,Barcelona,5.9,4–0,0.4,La Coruña,53607.0,Camp Nou,Antonio Matéu Lahoz
1861,Mon,2017-12-18,21:00,Málaga,0.9,0–2,1.4,Betis,22488.0,Estadio La Rosaleda,Alberola Rojas
1863,Tue,2017-12-19,21:30,Levante,0.9,0–0,0.5,Leganés,14639.0,Estadio Ciudad de Valencia,Santiago Jaime
