,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1683,Regular Season,Sun,2018-04-22,15:30,Augsburg,1.8,2–0,0.3,Mainz 05,29110.0,WWK Arena,Frank Willenborg
1684,Regular Season,Sun,2018-04-22,18:00,Köln,0.9,2–2,2.2,Schalke 04,50000.0,RheinEnergieSTADION,Marco Fritz
1686,Regular Season,Fri,2018-04-27,20:30,Hoffenheim,1.8,3–1,1.4,Hannover 96,26452.0,Dietmar-Hopp-Stadion,Patrick Ittrich
1687,Regular Season,Sat,2018-04-28,15:30,Bayern Munich,2.2,4–1,1.3,Eint Frankfurt,75000.0,Allianz Arena,Christian Dingert
1688,Regular Season,Sat,2018-04-28,15:30,Schalke 04,1.3,1–1,1.9,M'Gladbach,62271.0,Veltins-Arena,Harm Osmers
1689,Regular Season,Sat,2018-04-28,15:30,Wolfsburg,1.0,1–3,2.5,Hamburger SV,29400.0,Volkswagen Arena,Daniel Siebert
1690,Regular Season,Sat,2018-04-28,15:30,Freiburg,4.1,3–2,1.4,Köln,24000.0,Schwarzwald-Stadion,Deniz Aytekin
1691,Regular Season,Sat,2018-04-28,15:30,Hertha BSC,1.5,2–2,1.0,Augsburg,40935.0,Olympiastadion Berlin,Marco Fritz
1692,Regular Season,Sat,2018-04-28,18:30,Leverkusen,2.9,0–1,0.2,Stuttgart,30210.0,BayArena,Tobias Welz
1693,Regular Season,Sun,2018-04-29,15:30,Mainz 05,2.0,3–0,1.4,RB Leipzig,30083.0,Opel Arena,Bastian Dankert
1694,Regular Season,Sun,2018-04-29,18:00,Werder Bremen,1.1,1–1,2.7,Dortmund,41000.0,Weserstadion,Felix Brych
1696,Regular Season,Sat,2018-05-05,15:30,Werder Bremen,0.2,0–0,1.0,Leverkusen,41000.0,Weserstadion,Robert Hartmann
1697,Regular Season,Sat,2018-05-05,15:30,Stuttgart,1.0,2–0,2.6,Hoffenheim,58312.0,Mercedes-Benz Arena,Felix Zwayer
1698,Regular Season,Sat,2018-05-05,15:30,Hannover 96,1.4,3–1,0.9,Hertha BSC,49000.0,HDI-Arena,Sören Storks
1699,Regular Season,Sat,2018-05-05,15:30,M'Gladbach,2.2,3–1,2.1,Freiburg,54018.0,Stadion im Borussia-Park,Manuel Gräfe
1700,Regular Season,Sat,2018-05-05,15:30,Dortmund,0.9,1–2,1.1,Mainz 05,81360.0,Signal Iduna Park,Daniel Siebert
1701,Regular Season,Sat,2018-05-05,15:30,RB Leipzig,1.8,4–1,0.7,Wolfsburg,41487.0,Red Bull Arena,Marco Fritz
1702,Regular Season,Sat,2018-05-05,15:30,Augsburg,1.0,1–2,2.0,Schalke 04,30660.0,WWK Arena,Robert Kampka
1703,Regular Season,Sat,2018-05-05,15:30,Köln,1.7,1–3,2.4,Bayern Munich,50000.0,RheinEnergieSTADION,Bibiana Steinhaus
1704,Regular Season,Sat,2018-05-05,15:30,Eint Frankfurt,1.2,3–0,0.9,Hamburger SV,51500.0,Commerzbank-Arena,Deniz Aytekin
1706,Regular Season,Sat,2018-05-12,15:30,Leverkusen,4.7,3–2,2.1,Hannover 96,30210.0,BayArena,Guido Winkmann
1707,Regular Season,Sat,2018-05-12,15:30,Mainz 05,1.0,1–2,1.0,Werder Bremen,34000.0,Opel Arena,Martin Petersen
1708,Regular Season,Sat,2018-05-12,15:30,Hamburger SV,2.3,2–1,1.1,M'Gladbach,57000.0,Volksparkstadion,Felix Brych
1709,Regular Season,Sat,2018-05-12,15:30,Bayern Munich,2.5,1–4,2.6,Stuttgart,75000.0,Allianz Arena,Sascha Stegemann
1710,Regular Season,Sat,2018-05-12,15:30,Freiburg,0.9,2–0,0.1,Augsburg,24000.0,Schwarzwald-Stadion,Bastian Dankert
1711,Regular Season,Sat,2018-05-12,15:30,Schalke 04,1.1,1–0,0.6,Eint Frankfurt,61585.0,Veltins-Arena,Frank Willenborg
1712,Regular Season,Sat,2018-05-12,15:30,Hertha BSC,1.0,2–6,1.4,RB Leipzig,60502.0,Olympiastadion Berlin,Sven Jablonski
1713,Regular Season,Sat,2018-05-12,15:30,Hoffenheim,1.4,3–1,1.3,Dortmund,30150.0,Dietmar-Hopp-Stadion,Manuel Gräfe
1714,Regular Season,Sat,2018-05-12,15:30,Wolfsburg,3.2,4–1,0.8,Köln,26112.0,Volkswagen Arena,Markus Schmidt
1716,German 1/2 Relegation/Promotion Playoffs,Thu,2018-05-17,20:30,Wolfsburg,,3–1,,Holstein Kiel,28800.0,Volkswagen Arena,
1717,German 1/2 Relegation/Promotion Playoffs,Mon,2018-05-21,20:30,Holstein Kiel,,0–1,,Wolfsburg,12000.0,Holstein-Stadion,
