,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1151,Sun,2020-06-28,19:30,Napoli,1.9,3–1,0.3,SPAL,,Stadio San Paolo,Luca Pairetto
1152,Sun,2020-06-28,19:30,Sassuolo,1.6,3–3,1.4,Hellas Verona,,Stadio Città del Tricolore,Antonio Giua
1153,Sun,2020-06-28,19:30,Udinese,1.7,2–3,0.8,Atalanta,,Dacia Arena,Marco Di Bello
1154,Sun,2020-06-28,21:45,Parma,1.2,1–2,2.4,Inter,,Stadio Ennio Tardini,Fabio Maresca
1156,Tue,2020-06-30,19:30,Torino,0.9,1–2,1.6,Lazio,,Stadio Olimpico di Torino,Davide Massa
1157,Tue,2020-06-30,21:45,Genoa,0.2,1–3,0.7,Juventus,,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese
1158,Wed,2020-07-01,19:30,Bologna,1.5,1–1,1.1,Cagliari,,Stadio Renato Dall'Ara,Juan Sacchi
1159,Wed,2020-07-01,19:30,Inter,3.9,6–0,0.5,Brescia,,Stadio Giuseppe Meazza,Gianluca Manganiello
1160,Wed,2020-07-01,21:45,Fiorentina,1.6,1–3,1.7,Sassuolo,,Stadio Artemio Franchi,Daniele Chiffi
1161,Wed,2020-07-01,21:45,SPAL,0.4,2–2,2.1,Milan,,Stadio Paolo Mazza,Maurizio Mariani
1162,Wed,2020-07-01,21:45,Hellas Verona,1.6,3–2,1.6,Parma,,Stadio Marc'Antonio Bentegodi,Paolo Valeri
1163,Wed,2020-07-01,21:45,Lecce,1.8,1–2,1.8,Sampdoria,,Stadio Comunale Via Del Mare,Gianluca Rocchi
1164,Thu,2020-07-02,19:30,Atalanta,1.3,2–0,1.1,Napoli,,Stadio Atleti Azzurri d'Italia,Daniele Doveri
1165,Thu,2020-07-02,21:45,Roma,0.8,0–2,1.5,Udinese,,Stadio Olimpico,Marco Guida
1167,Sat,2020-07-04,17:15,Juventus,1.5,4–1,1.7,Torino,,Allianz Stadium,Fabio Maresca
1168,Sat,2020-07-04,19:30,Sassuolo,1.8,4–2,1.9,Lecce,,Stadio Città del Tricolore,Davide Massa
1169,Sat,2020-07-04,21:45,Lazio,0.4,0–3,2.3,Milan,,Stadio Olimpico,Giampaolo Calvarese
1170,Sun,2020-07-05,17:15,Inter,3.1,1–2,1.1,Bologna,,Stadio Giuseppe Meazza,Luca Pairetto
1171,Sun,2020-07-05,19:30,Parma,1.1,1–2,2.3,Fiorentina,,Stadio Ennio Tardini,Rosario Abisso
1172,Sun,2020-07-05,19:30,Brescia,1.1,2–0,0.9,Hellas Verona,,Stadio Mario Rigamonti,Marco Piccinini
1173,Sun,2020-07-05,19:30,Udinese,0.7,2–2,1.3,Genoa,,Dacia Arena,Daniele Orsato
1174,Sun,2020-07-05,19:30,Cagliari,0.4,0–1,3.3,Atalanta,,Sardegna Arena,Federico La Penna
1175,Sun,2020-07-05,19:30,Sampdoria,1.2,3–0,1.0,SPAL,,Stadio Comunale Luigi Ferraris,Piero Giacomelli
1176,Sun,2020-07-05,21:45,Napoli,2.2,2–1,0.7,Roma,,Stadio San Paolo,Gianluca Rocchi
1178,Tue,2020-07-07,19:30,Lecce,2.4,2–1,2.4,Lazio,,Stadio Comunale Via Del Mare,Fabio Maresca
1179,Tue,2020-07-07,21:45,Milan,1.9,4–2,1.2,Juventus,,Stadio Giuseppe Meazza,Marco Guida
1180,Wed,2020-07-08,19:30,Fiorentina,0.8,0–0,1.1,Cagliari,,Stadio Artemio Franchi,Gianluca Manganiello
1181,Wed,2020-07-08,19:30,Genoa,0.5,1–2,1.6,Napoli,,Stadio Comunale Luigi Ferraris,Maurizio Mariani
1182,Wed,2020-07-08,21:45,Bologna,1.2,1–2,0.8,Sassuolo,,Stadio Renato Dall'Ara,Francesco Fourneau
