,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
496,Regular Season,Sat,2021-01-16,15:30,Wolfsburg,1.2,2–2,2.1,RB Leipzig,,Volkswagen Arena,Tobias Stieler
497,Regular Season,Sat,2021-01-16,15:30,Dortmund,2.4,1–1,0.8,Mainz 05,,Signal Iduna Park,Sven Jablonski
498,Regular Season,Sat,2021-01-16,15:30,Hoffenheim,0.7,0–0,0.8,Arminia,,PreZero Arena,Marco Fritz
499,Regular Season,Sat,2021-01-16,15:30,Werder Bremen,1.2,2–0,0.5,Augsburg,,Weserstadion,Sascha Stegemann
500,Regular Season,Sat,2021-01-16,18:30,Stuttgart,2.0,2–2,1.5,M'Gladbach,,Mercedes-Benz Arena,Felix Brych
501,Regular Season,Sun,2021-01-17,15:30,Bayern Munich,2.7,2–1,1.0,Freiburg,,Allianz Arena,Christian Dingert
502,Regular Season,Sun,2021-01-17,18:00,Eint Frankfurt,1.7,3–1,0.2,Schalke 04,,Commerzbank-Arena,Manuel Gräfe
504,Regular Season,Tue,2021-01-19,18:30,M'Gladbach,0.8,1–0,1.1,Werder Bremen,,Stadion im Borussia-Park,Martin Petersen
505,Regular Season,Tue,2021-01-19,20:30,Hertha BSC,1.4,0–3,1.3,Hoffenheim,,Olympiastadion Berlin,Harm Osmers
506,Regular Season,Tue,2021-01-19,20:30,Leverkusen,1.8,2–1,2.1,Dortmund,,BayArena,Felix Zwayer
507,Regular Season,Tue,2021-01-19,20:30,Mainz 05,0.4,0–2,1.1,Wolfsburg,,Opel Arena,Sören Storks
508,Regular Season,Wed,2021-01-20,18:30,Schalke 04,1.4,1–2,1.6,Köln,,Veltins-Arena,Daniel Siebert
509,Regular Season,Wed,2021-01-20,20:30,Freiburg,0.7,2–2,1.4,Eint Frankfurt,,Schwarzwald-Stadion,Guido Winkmann
510,Regular Season,Wed,2021-01-20,20:30,RB Leipzig,1.4,1–0,0.3,Union Berlin,,Red Bull Arena,Markus Schmidt
